email,cohort,pre,post,age,sex,education,satisfaction,study_hours
ksneath19@instagram.com,1,508,497,37,Female,Bachelor's,6,37.3
lbellworthy1a@goo.gl,4,482,483,39,Female,Bachelor's,10,32.1
sspong1b@irs.gov,3,472,467,28,Female,Master's,6,34.1
dgotthardsf1c@blogspot.com,4,459,448,29,Female,Bachelor's,5,26.2
canstee1d@unicef.org,1,468,461,28,Female,Bachelor's,7,29
awarrick1e@who.int,2,496,505,34,Female,Master's,10,30
bsmeath1f@cargocollective.com,4,478,475,40,Female,Master's,6,26.2
jwisedale1g@blinklist.com,4,473,472,24,Female,Bachelor's,10,39.6
lgoodbur1h@posterous.com,4,491,497,21,Female,Doctorate,3,34
amunden1i@prlog.org,3,459,461,34,Female,Bachelor's,6,22.8
sblackesland1j@engadget.com,2,470,462,31,Male,Bachelor's,6,28.8
ldominelli1l@dropbox.com,4,491,487,26,Male,Bachelor's,6,31.5
kdron1m@marketwatch.com,4,490,491,30,Female,Bachelor's,8,35.3
fmcgahy1o@wikimedia.org,3,490,498,27,Female,Bachelor's,1,29.4
thuie1p@topsy.com,4,507,501,29,Male,Bachelor's,3,26.9
iadshed1s@mtv.com,2,504,519,37,Male,Bachelor's,10,26.2
efritschel1t@yellowbook.com,4,454,460,27,Male,Bachelor's,10,30.4
rbartzen1u@tamu.edu,2,498,501,20,Male,Bachelor's,9,30.5
ckarim1v@harvard.edu,1,446,442,35,Male,Bachelor's,9,40.9
ddahlbom1w@umich.edu,1,471,479,40,Female,Bachelor's,1,33.4
fclemenson1x@wikispaces.com,1,495,511,37,Male,Master's,9,27.3
abuncher1y@alexa.com,2,476,487,29,Female,Bachelor's,7,27.2
sputton1z@ed.gov,2,476,484,21,Male,Bachelor's,7,23.5
ddeverale20@nifty.com,2,494,499,31,Female,Bachelor's,2,21.7
dpetras21@macromedia.com,4,444,438,21,Male,Bachelor's,5,22.5
tmenhci22@spotify.com,2,481,484,36,Male,Bachelor's,4,27
mmackain24@hostgator.com,2,475,473,35,Male,Bachelor's,6,25.8
kmatovic27@prnewswire.com,1,489,496,38,Female,Bachelor's,4,23.1
scheeld29@cornell.edu,1,488,472,35,Female,Master's,3,32.8
kfurzey2a@github.com,2,470,467,35,Female,Bachelor's,4,36
alambole2b@51.la,1,474,473,23,Female,Bachelor's,1,22.5
abaggalley2c@google.ca,1,494,503,38,Male,Bachelor's,7,28.1
nlockett2d@paypal.com,1,494,495,32,Male,Bachelor's,3,20.8
pdemaid2e@nih.gov,3,485,486,38,Male,Bachelor's,9,33.7
yselbie2f@mit.edu,1,483,485,39,Female,Bachelor's,4,28.4
schaperlin2g@foxnews.com,3,496,495,40,Male,Bachelor's,4,32.9
skrink2h@columbia.edu,1,518,512,37,Male,Bachelor's,9,28
stoleman2i@usa.gov,3,493,483,26,Male,Bachelor's,3,33.6
smcveighty2j@ft.com,4,461,463,33,Female,Bachelor's,7,33.7
mcruikshanks2k@japanpost.jp,4,438,443,31,Female,Doctorate,3,31
mwagge2l@illinois.edu,2,519,540,23,Male,Bachelor's,1,28.2
bcoomes2m@cdbaby.com,3,445,448,35,Female,Bachelor's,4,27.1
dashdown2o@technorati.com,3,496,494,25,Female,Master's,4,18.8
cpeplay2p@woothemes.com,3,472,476,22,Female,Bachelor's,10,31.4
dfaloon2q@google.es,2,494,501,32,Female,Bachelor's,1,27.2
ltrlunzp@buidm.org,2,463,455,40,Male,Doctorate,5,26.1
